"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Porter Hodge","CHC","RP","34.0","37","2","0","4.12","1.38","16","29","18","4","33","0","2","0","110"
"Alexis Diaz","TEX","RP","34.2","35","2","1","4.69","1.39","18","30","18","5","32","0","2","0","110"
"John King","MIA","RP","48.2","31","2","0","4.15","1.40","22","53","14","5","47","0","2","0","109"
"Jose Suarez","ATL","RP","36.5","35","2","0","4.15","1.31","17","35","13","5","30","1","2","0","108"
"Carson Whisenhunt","SF","SP","42.4","33","2","0","4.46","1.38","21","43","15","6","16","6","2","0","108"
"Drew Thorpe","CWS","SP","43.8","33","2","0","4.74","1.37","23","44","16","7","9","8","3","0","108"
"Andrew Walters","CLE","RP","30.7","36","2","0","4.12","1.34","14","26","16","4","31","0","2","0","106"
"Gage Jump","ATH","SP","39.5","33","2","0","4.42","1.34","19","39","14","6","8","8","2","0","106"
"Jonah Tong","NYM","SP","31.7","35","2","0","3.58","1.25","13","26","14","3","12","5","2","0","105"
"Christian Scott","NYM","SP","35.3","34","2","0","4.04","1.22","16","33","10","5","22","3","2","0","105"
"Luinder Avila","KC","RP","37.8","33","2","0","4.26","1.38","18","36","16","4","34","0","2","0","105"
"Daysbel Hernandez","ATL","RP","33.0","35","2","0","4.36","1.44","16","29","19","4","33","0","2","0","105"
"Chris Roycroft","STL","RP","40.4","32","2","0","4.39","1.46","20","41","18","4","38","0","2","0","104"
"Brady Basso","ATH","RP","35.7","32","2","0","4.14","1.31","16","35","12","5","32","0","2","0","102"
"Yerry De los Santos","NYY","RP","38.5","31","2","0","4.13","1.36","18","38","15","4","36","0","2","0","102"
"Kyle Hart","SD","SP,RP","36.7","32","2","0","4.39","1.34","18","36","14","5","30","1","2","0","102"
"Pedro Avila","CLE","RP","36.8","32","2","0","4.37","1.39","18","36","15","4","27","2","2","0","102"
"Martin Perez","ATL","SP","40.3","31","2","0","4.68","1.42","21","42","15","5","7","7","2","0","102"
"Max Lazar","PHI","RP","38.3","31","2","0","4.44","1.33","19","39","12","5","37","0","2","0","101"
"Dylan Ross","NYM","RP","32.6","35","1","0","3.96","1.37","14","28","17","4","33","0","1","0","101"
"Tyler Gilbert","CWS","SP,RP","35.7","32","2","0","4.45","1.36","18","34","14","5","34","0","2","0","101"
"Kyle Wright","CHC","SP","36.4","32","2","0","4.63","1.41","19","36","15","5","15","3","3","0","101"
"Kendall Graveman","","RP","36.7","32","2","0","4.57","1.48","19","36","18","4","36","0","2","0","101"
"Liam Hendriks","MIN","RP","27.2","27","2","3","4.30","1.32","13","25","11","4","28","0","2","0","100"
"Michael Tonkin","","RP","34.5","32","2","0","4.51","1.32","17","33","12","5","32","0","2","0","100"
"Chase Shugart","PHI","RP","37.7","31","2","0","4.60","1.38","19","37","15","5","35","0","2","0","100"
"Jordan Wicks","CHC","SP,RP","34.5","31","2","0","4.07","1.31","16","34","11","4","19","3","2","0","99"
"Kendry Rojas","MIN","SP","35.0","31","2","0","4.31","1.40","17","35","14","4","27","2","2","0","99"
"Blade Tidwell","SF","SP,RP","35.8","31","2","0","4.47","1.38","18","35","14","5","18","3","2","0","99"
"Luis Mey","CIN","RP","33.8","32","2","0","4.63","1.54","17","31","21","4","34","0","2","0","99"
"Jack Perkins","ATH","","32.8","31","2","0","3.88","1.29","14","29","14","4","24","1","2","0","98"
"Craig Kimbrel","NYM","RP","28.5","33","2","0","4.12","1.33","13","23","15","4","29","0","2","0","98"
"Nestor Cortes Jr.","","SP","32.8","30","2","0","4.52","1.28","16","31","11","6","6","6","2","0","95"
"Robinson Ortiz","SEA","RP","31.1","30","2","0","4.18","1.41","14","28","16","3","31","0","2","0","94"
"Bailey Horn","DET","RP","32.1","30","2","0","4.37","1.43","16","31","15","4","31","0","2","0","94"
"Yosver Zulueta","SEA","RP","30.0","32","1","0","3.84","1.34","13","26","15","3","29","0","1","0","93"
"Josh Walker","BAL","RP","28.6","31","2","0","4.88","1.47","16","27","16","5","26","0","2","0","93"
"Spencer Turnbull","","SP,RP","35.9","28","2","0","4.90","1.47","20","37","15","5","10","6","3","0","92"
"Enmanuel De Jesus","DET","SP","36.7","30","1","0","4.68","1.44","19","37","16","5","34","0","1","0","92"
"Easton McGee","MIL","RP","32.4","28","2","0","4.07","1.29","15","31","10","4","30","0","1","0","91"
"Keaton Winn","SF","SP,RP","32.1","28","2","0","4.20","1.31","15","32","10","4","22","2","2","0","91"
"Joey Lucchesi","SF","RP","35.7","27","2","0","4.27","1.38","17","36","13","4","32","0","2","0","91"
"James McArthur","KC","RP","30.9","28","2","0","4.14","1.31","14","30","10","4","30","0","2","0","90"
"Carlos Rodriguez","MIL","RP","32.5","30","1","0","4.36","1.32","16","30","13","5","24","2","2","0","90"
"Alek Jacob","SD","RP","33.8","30","1","0","4.81","1.42","18","33","15","5","31","0","2","0","90"
"Jose Urena","","SP,RP","39.2","26","2","0","4.94","1.53","22","43","18","7","12","5","2","0","90"
"Nick Anderson","ATH","RP","32.7","30","1","0","4.64","1.41","17","33","13","5","32","0","2","0","89"
"Colton Gordon","HOU","SP,RP","32.4","27","2","0","4.37","1.30","16","33","10","5","23","1","1","0","88"
"Kervin Castro","NYY","RP","29.2","28","2","0","4.27","1.36","14","27","13","3","29","0","2","0","88"
"Paul Gervase","LAD","RP","27.1","29","2","0","4.55","1.38","14","24","13","4","26","0","2","0","88"
"Jesse Scholtens","TB","SP,RP","33.1","29","1","0","4.43","1.32","16","33","11","5","28","0","2","0","88"
"Tayron Guerrero","BOS","RP","35.4","29","1","0","5.06","1.55","20","39","16","5","35","0","1","0","88"
"Clarke Schmidt","NYY","SP","29.0","27","2","0","3.93","1.23","13","26","10","4","13","4","2","0","87"
"Prelander Berroa","CWS","RP","29.3","30","1","0","4.59","1.50","15","27","17","4","28","0","2","0","87"
"Sam Aldegheri","LAA","SP","35.2","26","2","0","5.35","1.53","21","37","17","6","8","5","3","0","87"
"Jose De Leon","","SP,RP","29.2","28","1","1","5.24","1.61","17","30","18","5","6","6","2","0","87"
"Chase Lee","TOR","RP","27.6","27","2","0","4.06","1.25","12","26","9","4","26","0","2","0","86"
"Luis Curvelo","TEX","RP","29.6","27","2","0","4.48","1.36","15","28","13","4","28","0","1","0","86"
"Rafael Montero","NYY","RP","30.4","29","1","0","4.48","1.40","15","28","15","4","31","0","2","0","86"
"Sawyer Gipson-Long","DET","SP,RP","30.8","28","1","0","4.07","1.21","14","29","8","4","21","2","2","0","85"
"Jorge Lopez","","RP","30.8","26","2","0","4.46","1.35","15","31","11","4","31","0","2","0","85"
"Cam Sanders","PIT","RP","29.8","29","1","0","4.68","1.53","15","28","18","4","29","0","2","0","85"
"Luis Peralta","COL","RP","30.6","29","1","0","5.26","1.61","18","32","18","5","32","0","2","0","85"
"Peyton Gray","TEX","RP","27.0","26","2","0","4.18","1.31","13","26","10","4","26","0","2","0","83"
"Ryan Watson","BOS","RP","29.6","25","2","0","4.32","1.35","14","30","10","4","29","0","1","0","83"
"Tyler Samaniego","BOS","RP","30.0","25","2","0","4.39","1.43","15","30","12","4","29","0","2","0","83"
"Evan Phillips","LAD","RP","24.9","26","2","0","3.47","1.16","10","21","8","3","26","0","1","0","82"
"Justin Martinez","ARI","RP","21.7","27","1","1","3.24","1.30","8","17","11","1","21","0","1","0","82"
"Juan Morillo","ARI","RP","29.7","27","1","0","4.30","1.48","14","29","15","3","31","0","1","0","82"
"Roansy Contreras","","SP,RP","32.9","24","2","0","4.92","1.46","18","35","14","6","22","1","2","0","82"
"Jason Foley","SF","RP","28.9","24","2","0","3.59","1.25","12","28","8","2","30","0","1","0","81"
"Anthony Nunez","BAL","RP","23.6","26","2","0","3.98","1.29","10","20","10","3","24","0","1","0","81"
"Nick Raquet","STL","RP","30.0","24","2","0","4.30","1.38","14","30","11","4","29","0","2","0","81"
"Gus Varland","WSH","RP","29.1","27","1","0","4.42","1.39","14","29","12","4","29","0","1","0","81"
"Hayden Wesneski","HOU","SP","25.8","25","2","0","4.20","1.24","12","24","8","4","17","2","1","0","80"
"Michael Petersen","MIA","RP","27.9","27","1","0","4.47","1.36","14","27","11","4","27","0","1","0","80"
"Jayden Murray","HOU","RP","31.0","26","1","0","4.51","1.39","16","30","13","4","30","0","1","0","80"
"Tanner McDougal","CWS","SP","30.5","26","1","0","4.63","1.43","16","29","14","4","11","5","2","0","80"
"Thomas White","MIA","SP","26.3","27","1","0","4.18","1.40","12","23","13","3","5","5","2","0","79"
"Drew Smith","WSH","RP","27.2","27","1","0","4.48","1.34","14","25","12","4","28","0","1","0","79"
"Angel Chivilli","NYY","RP","28.6","26","1","0","4.55","1.37","14","28","11","4","27","0","1","0","79"
"Doug Nikhazy","CLE","RP","29.2","26","1","0","4.74","1.47","15","29","14","4","20","2","2","0","79"
"Kyle Keller","BOS","RP","27.1","27","1","0","5.01","1.46","15","26","13","4","27","0","1","0","79"
"DJ Herz","WSH","SP","24.9","27","1","0","4.14","1.35","11","21","12","3","15","2","1","0","78"
"Gavin Stone","LAD","SP","27.6","23","2","0","4.31","1.31","13","27","9","4","12","3","1","0","77"
"Tristan Beck","SF","RP","28.5","25","1","0","4.09","1.28","13","27","9","3","23","0","1","0","77"
"Scott Alexander","","RP","30.9","22","2","0","4.26","1.41","15","33","11","3","32","0","2","0","77"
"Ryan Johnson","LAA","RP","26.7","26","1","0","4.28","1.34","13","27","9","4","22","1","2","0","77"
"Ryan Rolison","CHC","RP","32.2","24","1","0","4.58","1.42","16","33","12","4","30","0","2","0","77"
"Cameron Foster","BAL","RP","26.7","23","2","0","4.56","1.39","14","27","11","4","26","0","2","0","76"
"Trevor Williams","WSH","SP","30.0","24","1","0","4.53","1.37","15","32","9","4","19","2","2","0","76"
"Wade Miley","","SP","32.7","21","2","0","4.85","1.45","18","35","12","5","8","6","3","1","76"
"Mike Clevinger","PIT","RP","30.5","24","1","0","4.80","1.41","16","32","11","4","25","2","2","0","76"
"Cade Winquest","NYY","SP","31.0","24","1","0","4.80","1.41","17","31","12","4","29","0","2","0","76"
"Joe Jimenez","ATL","RP","22.3","26","1","0","3.69","1.17","9","19","7","2","22","0","1","0","75"
"Tim Mayza","PHI","RP","27.0","22","2","0","4.12","1.36","12","27","9","3","28","0","1","0","75"
"Cade Povich","BAL","SP","25.7","25","1","0","4.23","1.31","12","25","9","4","12","3","2","0","75"
"Zak Kent","MIN","RP","25.6","25","1","0","4.25","1.40","12","24","12","3","23","0","1","0","75"
"Alexander Alberto","CWS","RP","30.4","24","1","0","5.14","1.58","17","31","17","4","30","0","2","0","75"
"Garrett Hawkins","SD","RP","24.6","25","1","0","4.21","1.33","12","22","10","4","24","0","2","0","74"
"JR Ritchie","ATL","SP","26.1","22","2","0","4.55","1.38","13","26","10","3","5","5","1","0","74"
"Josh Simpson","SEA","RP","24.2","25","1","0","4.17","1.39","11","21","12","3","25","0","1","0","74"
"Eli Morgan","KC","RP","28.2","24","1","0","4.66","1.36","15","28","10","4","26","0","1","0","74"
"Joey Estes","ATH","SP","31.1","23","1","0","4.89","1.30","17","32","8","6","25","1","2","0","74"
"Julian Aguiar","CIN","SP","31.3","23","1","0","4.83","1.35","17","32","10","5","23","2","2","0","74"
"Yilber Diaz","ARI","RP","23.6","23","1","1","4.67","1.50","12","22","13","3","21","0","1","0","74"
"Jayvien Sandridge","LAA","RP","22.6","26","1","0","4.62","1.52","12","20","15","3","23","0","1","0","74"
"Mason Barnett","ATH","SP","28.3","24","1","0","4.81","1.43","15","28","12","4","17","3","1","0","74"
"McCade Brown","COL","SP","26.7","25","1","0","5.21","1.46","15","27","12","4","9","4","2","0","74"
"Justin Hagenman","NYM","RP","26.2","24","1","0","4.18","1.22","12","25","7","4","22","0","1","0","73"
"Jonathan Pintaro","NYM","SP,RP","25.2","24","1","0","4.09","1.36","11","23","11","3","21","2","1","0","73"
"Philip Abner","ARI","RP","25.9","24","1","0","4.20","1.36","12","25","10","3","27","0","1","0","73"
"Troy Taylor","SEA","RP","26.1","24","1","0","4.41","1.41","13","24","12","3","27","0","1","0","73"
"Luke Little","CHC","RP","21.9","25","1","0","3.67","1.38","9","17","13","2","23","0","1","0","72"
"Daison Acosta","SD","RP","22.4","25","1","0","4.08","1.37","10","18","12","2","22","0","1","0","72"
"James Karinchak","ATL","RP","22.3","25","1","0","4.47","1.40","11","19","12","3","22","0","1","0","72"
"Chris Flexen","","RP","27.4","21","2","0","4.76","1.44","15","30","10","5","12","1","2","0","72"
"Welinton Herrera","COL","RP","24.8","24","1","0","4.43","1.43","12","25","11","3","25","0","2","0","72"
"Ryan Harbin","PIT","RP","25.6","24","1","0","4.59","1.55","13","24","15","3","25","0","1","0","72"
"Gavin Hollowell","CHC","RP","23.5","24","1","0","4.47","1.40","12","21","12","3","23","0","1","0","71"
"Kaleb Ort","LAA","RP","23.5","24","1","0","4.66","1.40","12","21","12","4","23","0","1","0","71"
"Braden Nett","ATH","SP","27.9","23","1","0","4.91","1.51","15","28","14","4","15","3","2","0","71"
"Luis Gastelum","STL","RP","24.3","23","1","0","3.93","1.29","11","23","8","3","24","0","1","0","70"
"Brandon Young","BAL","SP","25.7","23","1","0","4.41","1.32","13","26","8","4","19","2","2","0","70"
"Ty Adcock","SD","RP","25.2","23","1","0","4.47","1.34","13","24","10","4","24","0","1","0","70"
"Tayler Saucedo","LAA","RP","25.4","23","1","0","4.32","1.43","12","25","11","3","26","0","1","0","70"
"Jorge Alcala","TOR","RP","23.4","24","1","0","4.80","1.35","12","22","10","4","22","0","1","0","70"
"Scott McGough","","RP","25.9","23","1","0","4.84","1.42","14","26","11","4","25","0","1","0","70"
"Austin Peterson","CLE","SP","29.1","21","1","0","4.63","1.31","15","30","8","5","15","3","2","0","69"
"Juan Burgos","ARI","RP","26.0","22","1","0","4.46","1.43","13","26","11","3","26","0","1","0","69"
"Marc Church","TEX","RP","25.3","23","1","0","4.99","1.60","14","24","16","3","24","0","2","0","69"
"Jose Castillo","","RP","20.5","21","2","0","3.73","1.29","9","19","8","2","19","0","1","0","68"
"Jedixson Paez","CWS","SP","27.2","21","1","0","4.40","1.32","13","28","8","4","26","0","1","0","68"
"Alex Carrillo","NYM","RP","21.1","23","1","0","4.34","1.37","10","18","11","3","19","0","1","0","67"
"Mitch Spence","KC","SP,RP","26.1","21","1","0","4.55","1.36","13","28","8","4","21","1","2","0","67"
"Zach Pop","PHI","RP","26.6","21","1","0","4.54","1.40","13","27","10","4","27","0","1","0","67"
"Trent Thornton","CHC","RP","24.8","21","1","0","4.31","1.29","12","24","8","4","24","0","1","0","66"
"William Kempner","MIA","RP","22.5","22","1","0","4.70","1.48","12","21","12","3","22","0","2","0","66"
"Hunter Strickland","LAA","RP","26.7","21","1","0","4.92","1.45","15","27","12","4","26","0","2","0","66"
"Carson Palmquist","COL","SP,RP","23.7","22","1","0","5.17","1.51","14","24","12","4","18","1","2","0","66"
"Bryce Jarvis","ARI","RP","27.5","21","1","0","5.40","1.64","17","30","16","5","18","1","2","0","66"
"Dylan Smith","DET","RP","22.9","21","1","0","4.13","1.35","10","21","10","3","21","0","1","0","65"
"Daniel Espino","CLE","SP","21.2","22","1","0","4.25","1.40","10","19","10","3","18","1","1","0","65"
"Michel Otanez","TEX","RP","18.5","23","1","0","4.26","1.45","9","15","12","2","19","0","1","0","65"
"Hector Neris","KC","RP","21.3","22","1","0","4.54","1.37","11","19","10","3","22","0","2","0","65"
"Franco Aleman","CLE","RP","19.9","22","1","0","4.21","1.39","9","18","10","2","20","0","1","0","64"
"Jackson Kowar","BAL","RP","23.1","21","1","0","4.80","1.46","12","23","11","3","22","0","1","0","64"
"Ronel Blanco","HOU","SP","20.6","21","1","0","4.27","1.30","10","18","8","3","10","2","1","0","63"
"Reiver Sanmartin","SF","RP","25.9","19","1","0","4.12","1.38","12","27","9","3","25","0","1","0","63"
"Albert Suarez","BAL","SP,RP","24.5","20","1","0","4.62","1.37","13","25","8","4","20","0","1","0","63"
"Dan Altavilla","MIN","RP","24.5","20","1","0","4.69","1.48","13","24","12","3","25","0","1","0","63"
"Gavin Collyer","TEX","","21.5","21","1","0","4.89","1.48","12","20","12","3","21","0","1","0","63"
"Bryse Wilson","PHI","SP,RP","27.8","19","1","0","5.00","1.40","15","30","9","5","11","3","2","0","63"
"Sam Long","","RP","22.5","21","1","0","4.99","1.53","13","23","12","4","22","0","2","0","63"
"Bowden Francis","TOR","SP","22.0","20","1","0","4.51","1.28","11","21","8","5","5","5","1","0","62"
"Robert Stock","NYM","SP,RP","19.0","21","1","0","4.27","1.45","9","17","11","3","13","1","1","0","62"
"RJ Petit","COL","RP","22.9","20","1","0","4.49","1.42","11","23","9","3","24","0","2","0","62"
"Austin Love","STL","SP","23.0","20","1","0","4.64","1.44","12","23","10","3","23","0","1","0","62"
"Lyon Richardson","CIN","RP","23.3","20","1","0","4.61","1.48","12","23","12","3","22","0","1","0","62"
"Coleman Crow","MIL","SP","19.9","20","1","0","3.73","1.20","8","18","6","2","16","1","1","0","61"
"John Rooney","TB","RP","17.5","21","1","0","3.85","1.37","8","14","11","2","13","0","1","0","61"
"Easton Lucas","","SP,RP","21.4","20","1","0","4.20","1.40","10","20","10","3","12","1","1","0","61"
"Cam Booser","TB","RP","18.4","21","1","0","4.51","1.42","9","17","9","3","19","0","1","0","61"
"Bobby Miller","LAD","SP","21.6","20","1","0","4.58","1.40","11","21","10","3","18","0","1","0","61"
"Logan Gillaspie","SD","RP","24.3","19","1","0","4.62","1.38","12","25","8","4","23","0","1","0","61"
"Caleb Boushley","","RP","24.9","19","1","0","4.52","1.41","13","27","9","4","15","1","2","0","61"
"Luis Guerrero","TB","RP","22.0","20","1","0","4.92","1.51","12","20","13","3","20","0","1","0","61"
"Cody Laweryson","MIN","RP","22.3","19","1","0","4.26","1.34","11","22","8","2","20","0","1","0","60"
"Luis Perales","WSH","SP","19.3","20","1","0","4.20","1.40","9","17","10","2","18","0","1","0","60"
"Alan Rangel","PHI","SP,RP","22.9","19","1","0","4.79","1.34","12","23","8","4","13","2","1","0","60"
"Taylor Rashi","ARI","RP","20.4","20","1","0","4.45","1.49","10","19","11","2","12","0","1","0","60"
"Mitch Farris","LAA","SP","21.2","20","1","0","5.02","1.49","12","21","11","3","4","4","2","0","60"
"Gabriel Hughes","COL","SP","25.6","18","1","0","5.10","1.48","14","29","9","4","18","2","2","0","60"
"Miguel Ullola","HOU","SP,RP","16.4","18","2","0","4.04","1.35","7","14","9","2","15","0","2","0","59"
"Codi Heuer","CLE","RP","18.0","20","1","0","3.99","1.30","8","16","8","3","12","0","1","0","59"
"Cristian Mena","ARI","SP,RP","20.3","19","1","0","4.15","1.34","9","19","8","2","13","2","1","0","59"
"Lazaro Estrada","TOR","SP,RP","21.2","19","1","0","4.46","1.29","10","21","7","3","19","0","1","0","59"
"Angel Bastardo","TOR","SP","20.5","19","1","0","4.32","1.38","10","19","9","3","17","1","1","0","59"
"Ty Madden","DET","RP","21.2","19","1","0","4.59","1.38","11","21","9","3","13","2","1","0","59"
"Noah Schultz","CWS","SP","22.1","19","1","0","4.68","1.44","12","22","10","3","4","4","2","0","59"
"J.P. France","HOU","SP,RP","22.0","19","1","0","4.76","1.43","12","21","10","3","14","2","1","0","59"
"Marco Raya","MIN","SP,RP","21.9","19","1","0","4.68","1.48","11","22","11","3","22","0","1","0","59"
"Winston Santos","TEX","SP","16.6","20","1","0","4.33","1.38","8","15","8","3","4","4","1","0","58"
"Cole Wilcox","SEA","RP","22.1","18","1","0","4.36","1.36","11","22","8","3","21","0","1","0","58"
"Garrett Acton","MIA","RP","19.8","19","1","0","4.55","1.36","10","18","9","3","20","0","1","0","58"
"Christian Roa","HOU","RP","20.0","19","1","0","4.49","1.42","10","18","10","3","19","0","1","0","58"
"Osvaldo Bido","NYY","SP,RP","20.8","19","1","0","4.66","1.39","11","20","9","3","15","0","1","0","58"
"Genesis Cabrera","PHI","RP","20.4","19","1","0","4.68","1.40","11","20","9","3","20","0","1","0","58"
"Landon Knack","LAD","SP","20.9","19","1","0","4.99","1.39","12","21","9","4","12","2","1","0","58"
"Victor Mederos","LAA","SP,RP","23.3","18","1","0","4.94","1.46","13","24","10","3","20","0","1","0","58"
"Andry Lara","WSH","RP","23.8","18","1","0","4.88","1.50","13","25","11","3","15","0","1","0","58"
"Richard Lovelady","NYM","RP","20.8","18","1","0","4.11","1.31","9","20","8","2","20","0","1","0","57"
"Drew Sommers","DET","RP","20.5","18","1","0","3.96","1.36","9","20","8","2","21","0","1","0","57"
"Ricky Tiedemann","TOR","SP","18.6","19","1","0","4.27","1.37","9","17","9","2","12","2","1","0","57"
"Derek Law","ARI","RP","21.2","18","1","0","4.26","1.36","10","21","8","2","21","0","1","0","57"
"Riley Martin","CHC","RP","18.1","19","1","0","4.02","1.43","8","16","10","2","18","0","1","0","57"
"Carson Seymour","SF","SP,RP","21.0","18","1","0","4.23","1.38","10","21","8","3","17","0","1","0","57"
"Konnor Pilkington","DET","RP","18.2","19","1","0","4.38","1.46","9","16","11","2","19","0","1","0","57"
"Ryan Loutos","SEA","RP","20.7","18","1","0","4.51","1.42","10","20","9","3","21","0","1","0","57"
"Jack Neely","CHC","RP","18.1","19","1","0","4.60","1.46","9","16","10","2","18","0","1","0","57"
"Dax Fulton","MIA","SP","21.4","18","1","0","4.45","1.47","11","21","10","2","17","1","1","0","57"
"Hunter Stratton","ATL","RP","19.9","18","1","0","4.18","1.32","9","19","7","2","19","0","1","0","56"
"Jose Espada","BAL","RP","17.1","19","1","0","4.47","1.36","8","15","8","2","15","0","1","0","56"
"Lou Trivino","PHI","RP","20.9","18","1","0","4.59","1.40","11","21","9","3","21","0","1","0","56"
"Thomas Harrington","PIT","SP,RP","22.7","17","1","0","4.74","1.38","12","24","8","3","10","4","2","0","56"
"Scott Blewett","STL","RP","22.7","17","1","0","4.82","1.44","12","24","9","3","20","0","1","0","56"
"Joey Gerber","NYM","SP,RP","18.3","18","1","0","4.47","1.30","9","17","7","3","16","0","1","0","55"
"Carlos Hernandez","CLE","RP","18.2","18","1","0","4.26","1.36","9","17","8","2","18","0","1","0","55"
"Kohl Drake","ARI","SP","20.5","17","1","0","4.46","1.38","10","21","8","3","5","4","1","0","55"
"T.J. McFarland","","RP","24.3","16","1","0","4.43","1.42","12","26","8","3","26","0","1","0","55"
"Chayce McDermott","BAL","SP,RP","18.0","18","1","0","4.65","1.48","9","17","10","2","15","1","1","0","55"
"Seth Johnson","PHI","SP,RP","19.9","18","1","0","4.76","1.48","11","20","10","3","18","0","1","0","55"
"Jose Corniell","TEX","SP","18.6","17","1","0","3.68","1.18","8","16","6","2","15","0","1","0","54"
"Michael Grove","","RP","16.4","18","1","0","3.85","1.22","7","15","5","2","12","1","1","0","54"
"Grant Holman","ARI","RP","19.6","17","1","0","4.28","1.39","9","19","8","2","20","0","1","0","54"
"Nabil Crismatt","TEX","SP,RP","21.5","17","1","0","5.24","1.47","13","24","8","5","11","1","1","0","54"
"Ryan Borucki","CWS","RP","18.1","17","1","0","4.04","1.32","8","16","8","2","19","0","1","0","53"
"Jhony Brito","SD","RP","20.1","16","1","0","4.23","1.32","9","20","7","2","18","0","1","0","53"
"Domingo Gonzalez","SEA","RP","18.3","17","1","0","4.31","1.36","9","17","8","2","18","0","1","0","53"
"Ronan Kopp","LAD","RP","16.4","18","1","0","4.30","1.47","8","14","10","2","16","0","1","0","53"
"Jake Bennett","BOS","SP","21.3","16","1","0","4.53","1.38","11","22","7","3","19","0","1","0","53"
"Alex Hoppe","SEA","RP","18.1","17","1","0","4.28","1.46","9","17","9","2","18","0","1","0","53"
"Bryan Sammons","DET","RP","18.6","17","1","0","4.60","1.42","10","18","9","4","4","1","1","0","53"
"Danny Young","ATL","RP","16.1","17","1","0","3.84","1.34","7","14","7","2","17","0","1","0","52"
"Tyson Neighbors","BAL","RP","17.3","17","1","0","4.23","1.33","8","15","8","2","17","0","1","0","52"
"Colin Poche","","RP","18.3","17","1","0","4.72","1.41","10","17","9","3","20","0","1","0","52"
"Josh Winckowski","TOR","RP","18.1","16","1","0","3.73","1.27","8","18","6","2","12","1","1","0","51"
"Chris Devenski","PIT","RP","19.1","16","1","0","4.50","1.34","10","19","6","3","18","0","1","0","51"
"Carson Fulmer","PIT","SP,RP","18.8","16","1","0","4.32","1.47","9","19","9","2","10","1","1","0","51"
"Vinny Nittoli","BOS","RP","16.9","17","1","0","5.10","1.43","10","17","7","3","13","0","1","0","51"
"Travis Sykora","WSH","SP","16.5","17","1","0","4.91","1.58","9","16","11","2","16","1","1","0","51"
"Shawn Dubin","ARI","RP","16.6","16","1","0","4.18","1.39","8","16","7","1","14","0","1","0","50"
"Joe Rock","TB","SP,RP","19.1","15","1","0","4.41","1.36","9","20","6","3","11","2","1","0","50"
"Kolby Allard","CLE","SP,RP","19.9","15","1","0","4.56","1.37","10","21","6","3","18","0","1","0","50"
"Rolddy Munoz","ATL","RP","17.1","16","1","0","4.46","1.49","8","17","9","2","16","0","1","0","50"
"Andrew Morris","MIN","SP","18.5","15","1","0","4.18","1.31","9","19","5","2","16","1","1","0","49"
"Tony Gonsolin","","SP","16.9","16","1","0","4.57","1.36","9","15","8","3","4","3","1","0","49"
"Duncan Davitt","CWS","SP","19.1","15","1","0","4.63","1.35","10","20","6","3","17","0","1","0","49"
"Shinnosuke Ogasawara","WSH","SP,RP","20.7","14","1","0","4.47","1.37","10","22","7","2","14","0","1","0","49"
"Hagen Smith","CWS","SP","16.1","16","1","0","4.57","1.47","8","14","10","2","3","3","1","0","49"
"Tayler Scott","ATL","RP","16.4","16","1","0","4.70","1.50","9","16","9","2","16","0","1","0","49"
"Emiliano Teodo","TEX","RP","15.8","16","1","0","4.63","1.54","8","14","10","2","16","0","1","0","49"
"John Curtiss","ARI","RP","19.6","15","1","0","5.05","1.40","11","21","7","4","18","0","1","0","49"
"Jake Woodford","TB","SP,RP","19.2","15","1","0","5.17","1.54","11","21","9","3","11","1","1","0","49"
"David Davalillo","TEX","SP","16.3","15","1","0","3.86","1.23","7","14","7","2","4","4","1","1","48"
"Ryan Lambert","NYM","RP","14.2","16","1","0","4.21","1.33","7","12","7","2","14","0","1","0","48"
"Brycen Mautz","STL","SP","17.3","15","1","0","4.28","1.32","8","17","6","2","15","1","1","0","48"
"Josh Ekness","MIA","RP","16.8","15","1","0","4.49","1.43","8","16","8","2","16","0","1","0","48"
"Bradley Blalock","MIA","SP","20.5","14","1","0","5.20","1.53","12","23","9","3","16","1","1","0","48"
"Davis Daniel","CIN","SP","19.3","15","1","0","5.38","1.53","12","21","9","4","6","2","2","0","48"
"Nolan Hoffman","PHI","SP,RP","15.7","15","1","0","4.46","1.43","8","15","8","2","16","0","1","0","47"
"Jose Franco","CIN","SP,RP","15.7","15","1","0","4.84","1.41","8","15","7","2","15","0","1","0","47"
"Zack Thompson","STL","P","15.6","15","1","0","4.61","1.47","8","15","8","2","11","1","1","0","47"
"Anthony Molina","ATL","RP","19.7","14","1","0","5.36","1.57","12","23","8","3","11","0","1","0","47"
"Ryan Burr","","SP,RP","11.0","16","1","0","3.68","1.23","5","9","5","1","12","0","1","0","46"
"Alex Faedo","","SP,RP","14.3","15","1","0","4.10","1.30","7","13","6","2","8","1","1","0","46"
"Michael Fulmer","SF","RP","14.5","15","1","0","4.14","1.31","7","13","6","2","14","0","1","0","46"
"Dane Dunning","SEA","SP,RP","16.5","14","1","0","4.40","1.32","8","16","6","2","8","2","1","0","46"
"Tanner Houck","BOS","SP","17.2","14","1","0","4.43","1.35","8","17","6","2","7","2","1","0","46"
"Austin Gomber","TEX","SP","18.4","14","1","0","4.74","1.32","10","19","5","3","6","3","2","0","46"
"Eric Cerantola","KC","RP","14.4","15","1","0","4.47","1.47","7","13","8","2","14","0","1","0","46"
